templateDay,typeOfAction,recordType,recordIdTpl,associationsTpl,originalSource,actionTpl,reasonTpl
0,create_contact,contact,contact_{{simulationId}}_{{contactSeq}},{},universal,"{""firstName"":""{{theme}}_Contact"",""lastName"":""{{industry}}_Lead"",""email"":""contact{{contactSeq}}@{{industry}}.example.com"",""phone"":""+1-555-0100"",""company"":""{{theme}} {{industry}} Corp""}","Initial contact creation for {{theme}} {{industry}} simulation"
0,create_company,company,company_{{simulationId}}_{{contactSeq}},{},universal,"{""name"":""{{theme}} {{industry}} Corp"",""domain"":""{{industry}}.example.com"",""industry"":""{{industry}}"",""city"":""San Francisco"",""state"":""CA"",""numberofemployees"":""50""}","Company creation for {{theme}} {{industry}} simulation"
1,create_deal,deal,deal_{{simulationId}}_{{contactSeq}},"{""contact"":""contact_{{simulationId}}_{{contactSeq}}"",""company"":""company_{{simulationId}}_{{contactSeq}}""}",universal,"{""dealname"":""{{theme}} {{industry}} Opportunity"",""amount"":""5000"",""dealstage"":""appointmentscheduled"",""pipeline"":""default""}","Deal creation and association for {{theme}} {{industry}} simulation"
3,create_note,note,note_{{simulationId}}_{{contactSeq}}_1,"{""contact"":""contact_{{simulationId}}_{{contactSeq}}""}",universal,"{""hs_note_body"":""Initial qualification call with {{theme}} {{industry}} prospect. Discussed their needs and our {{theme}}-themed solution."",""hs_timestamp"":""{{timestamp}}""}","Qualification note for {{theme}} {{industry}} prospect"
3,update_deal,deal,deal_{{simulationId}}_{{contactSeq}},{},universal,"{""dealstage"":""qualifiedtobuy""}","Updated deal stage after qualification call"
5,create_note,note,note_{{simulationId}}_{{contactSeq}}_2,"{""contact"":""contact_{{simulationId}}_{{contactSeq}}""}",universal,"{""hs_note_body"":""Presented {{theme}}-themed {{industry}} solution. Prospect showed strong interest and requested proposal."",""hs_timestamp"":""{{timestamp}}""}","Presentation note for {{theme}} {{industry}} prospect"
5,update_deal,deal,deal_{{simulationId}}_{{contactSeq}},{},universal,"{""dealstage"":""presentationscheduled""}","Updated deal stage after presentation"
7,create_ticket,ticket,ticket_{{simulationId}}_{{contactSeq}},"{""contact"":""contact_{{simulationId}}_{{contactSeq}}"",""company"":""company_{{simulationId}}_{{contactSeq}}""}",universal,"{""subject"":""{{theme}} {{industry}} Implementation Support"",""content"":""Support ticket for {{theme}}-themed {{industry}} solution implementation."",""hs_pipeline_stage"":""1""}","Support ticket creation for {{theme}} {{industry}} implementation"
8,update_ticket,ticket,ticket_{{simulationId}}_{{contactSeq}},{},universal,"{""hs_pipeline_stage"":""2""}","Updated support ticket status to in progress"
10,update_deal,deal,deal_{{simulationId}}_{{contactSeq}},{},universal,"{""dealstage"":""decisionmakerboughtin""}","Updated deal stage - decision maker engaged"
15,create_note,note,note_{{simulationId}}_{{contactSeq}}_3,"{""contact"":""contact_{{simulationId}}_{{contactSeq}}""}",universal,"{""hs_note_body"":""Follow-up call with {{theme}} {{industry}} prospect. Addressed final concerns and negotiated terms."",""hs_timestamp"":""{{timestamp}}""}","Negotiation note for {{theme}} {{industry}} prospect"
15,update_deal,deal,deal_{{simulationId}}_{{contactSeq}},{},universal,"{""dealstage"":""contractsent""}","Updated deal stage - contract sent"
20,update_deal,deal,deal_{{simulationId}}_{{contactSeq}},{},won,"{""dealstage"":""closedwon"",""closedate"":""{{timestamp}}""}","Deal closed successfully for {{theme}} {{industry}} simulation"
20,update_deal,deal,deal_{{simulationId}}_{{contactSeq}},{},lost,"{""dealstage"":""closedlost"",""closedate"":""{{timestamp}}""}","Deal closed as lost for {{theme}} {{industry}} simulation"
25,create_note,note,note_{{simulationId}}_{{contactSeq}}_4,"{""contact"":""contact_{{simulationId}}_{{contactSeq}}""}",won,"{""hs_note_body"":""Post-sale follow-up with {{theme}} {{industry}} client. Confirmed successful implementation and discussed expansion opportunities."",""hs_timestamp"":""{{timestamp}}""}","Post-sale follow-up note for {{theme}} {{industry}} client"
25,close_ticket,ticket,ticket_{{simulationId}}_{{contactSeq}},{},won,"{""hs_pipeline_stage"":""4""}","Closed support ticket after successful implementation"
30,create_note,note,note_{{simulationId}}_{{contactSeq}}_5,"{""contact"":""contact_{{simulationId}}_{{contactSeq}}""}",won,"{""hs_note_body"":""30-day check-in with {{theme}} {{industry}} client. Client satisfaction high, discussed upsell opportunities."",""hs_timestamp"":""{{timestamp}}""}","30-day success check-in for {{theme}} {{industry}} client"